Type,Price,Initial Amount,Monthly Installment,Remaining Installments,Location,Bath(s),Area,Purpose,Bedroom(s),Added,Features,Room,Communication,Community
House,PKR6.7 Crore,,,,"G-13, Islamabad, Islamabad Capital",6,10.9 Marla,For Sale,5,1 day ago,"['Main Features, Built in year: 2020, Parking Spaces: 3, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building: 26, Elevators, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 8, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Balloted, Sewerage, Electricity, Water Supply']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']"
House,PKR3.8 Crore,,,,"G-13, Islamabad, Islamabad Capital",5,4 Marla,For Sale,5,1 day ago,"['Main Features, Built in year: 2023, Parking Spaces: 2']","['Rooms, Bedrooms: 5, Bathrooms: 8, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room Lounge or Sitting Room']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Nearby Public Transport Service, Other Nearby Places']"
House,PKR25 Crore,,,,"B-17, Islamabad, Islamabad Capital",6,5 Kanal,For Sale,10,1 day ago,"['Main Features, Built in year: 2023, Parking Spaces: 20, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Furnished']","['Rooms, Bedrooms: 9, Bathrooms: 12, Servant Quarters: 3, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 4, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
Flat,PKR75 Lakh,,,,"DHA Defence, Islamabad, Islamabad Capital",1,2.8 Marla,For Sale,1,6 hours ago,"['Main Features, Built in year, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Service Elevators in Building, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR4.4 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",5,10 Marla,For Sale,5,6 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Flooring, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room Store Rooms, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Kids Play Area, Barbeque Area, Mosque, Other Community Facilities']"
Farm House,PKR35 Crore,,,,"Tarlai, Islamabad, Islamabad Capital",6,28 Kanal,For Sale,7,5 hours ago,"['Main Features, Built in year: 2013, Flooring, Floors: 2, Furnished']","['Rooms, Bedrooms: 7, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Powder Room Store Rooms: 1, Lounge or Sitting Room']","['Plot Features, Possesion, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)Nearby Public Transport Service']"
Flat,PKR1.75 Crore,,,,"Kashmir Highway, Islamabad, Islamabad Capital",1,4.3 Marla,For Sale,1,5 hours ago,"['Main Features, Parking Spaces: 2, Central Air Conditioning, Flooring, Other Main Features, Furnished']","['Rooms, Bedrooms: 1, Bathrooms: 1, Drawing Room, Dining Room, Kitchens: 2, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR95 Lakh,,,,"Gulberg, Islamabad, Islamabad Capital",2,3.5 Marla,For Sale,2,5 hours ago,"['Main Features, Built in year: 2023, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 3, Floors in Building, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 2, Bathrooms: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR1.75 Crore,,,,"Ghauri Town, Islamabad, Islamabad Capital",4,5 Marla,For Sale,4,5 hours ago,"['Main Features, Built in year: 2023, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 4, Bathrooms: 4, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Sewerage, Electricity, Water Supply']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
House,PKR11.9 Crore,,,,"Gulberg, Islamabad, Islamabad Capital",3,1 Kanal,For Sale,3,5 hours ago,"['Main Features, Built in year: 2023, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 1, Other Main Features, Furnished']","['Rooms, Bedrooms: 4, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR2.3 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",4,5 Marla,For Sale,3,3 hours ago,"['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters, Drawing Room, Dining Room, Study Room, Powder Room Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access']","['Community Features, Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']","['Healthcare Recreational, Lawn or Garden']"
House,PKR1.25 Crore,,,,"Ghauri Town, Islamabad, Islamabad Capital",2,5 Marla,For Sale,2,3 hours ago,"['Main Features, Built in year: 2023, Parking Spaces, Double Glazed Windows, Flooring, Electricity Backup, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 2, Bathrooms, Servant Quarters, Drawing Room, Kitchens: 1, Store Rooms, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR85 Lakh,,,,"Ghauri Town, Islamabad, Islamabad Capital",2,5 Marla,For Sale,2,3 hours ago,"['Main Features, Built in year: 2023, Parking Spaces, Double Glazed Windows, Flooring, Electricity Backup, Floors, Other Main Features']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters, Drawing Room, Kitchens: 1, Powder Room Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Swimming Pool, First Aid or Medical Centre, Kids Play Area, Mosque, Other Community Facilities']"
House,PKR2 Crore,,,,"Ghauri Town, Islamabad, Islamabad Capital",4,6 Marla,For Sale,4,3 hours ago,"['Main Features, Built in year, Parking Spaces, Double Glazed Windows, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 4, Bathrooms: 4, Servant Quarters, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR15 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",6,2 Kanal,For Sale,6,3 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 4, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floors: 2']","['Rooms, Bedrooms: 6, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 1, Powder Room Gym, Store Rooms: 1, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Intercom']","['Community Features, Community Lawn or Garden, Mosque, Community Centre']"
House,PKR18 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",6,1.5 Kanal,For Sale,6,3 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 4, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 7, Floors: 2, Floors in Building: 6, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 6, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room']","['Plot Features, Possesion, Corner, Park Facing, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']"
House,PKR8.65 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,3 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished']","['Rooms, Bedrooms: 6, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR10.75 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,3 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Flooring, Waste Disposal, Other Main Features']","['Rooms, Bedrooms: 6, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
House,PKR4.7 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",5,10 Marla,For Sale,4,1 week ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 1, Floors: 3, Floors in Building: 24, Elevators: 4, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR3.4 Crore,,,,"River Garden, Islamabad, Islamabad Capital",6,7 Marla,For Sale,4,1 week ago,"['Main Features, Built in year: 2022, Parking Spaces: 1, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 4, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Corner, Park Facing, Disputed, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
House,PKR4.95 Crore,,,,"B-17, Islamabad, Islamabad Capital",4,10 Marla,For Sale,5,1 week ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Flooring, Electricity Backup, Waste Disposal, Floors: 2']","['Rooms, Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
Flat,PKR40.3 Lakh,,,,"I-12, Islamabad, Islamabad Capital",2,3.9 Marla,For Sale,2,1 week ago,"['Main Features, Built in year: 2024, Parking Spaces, Lobby in Building, Flooring, Electricity Backup, Floor: 3, Floors in Building: 9, Elevators: 4']","['Rooms, Bedrooms: 2, Bathrooms: 2, Drawing Room, Kitchens: 1, Store Rooms: 1']","['Business and Communication, Other Business and Communication Facilities']","['Community Features, Community Gym, Kids Play Area, Mosque']"
